Index,Dates,Time,Score,Class
133,11-10-2020, 16:58:33,22.1,snoring
134,11-10-2020, 16:58:34,20.55,snoring
135,11-10-2020, 16:58:35,20.38,snoring
136,11-10-2020, 16:58:35,20.38,snoring
137,11-10-2020, 16:58:55,23.17,snoring
138,11-10-2020, 16:58:56,23.17,snoring
139,11-10-2020, 16:58:56,21.54,snoring
140,11-10-2020, 16:59:02,21.51,snoring
141,11-10-2020, 16:59:03,21.51,snoring
142,11-10-2020, 16:59:12,21.18,snoring
143,11-10-2020, 16:59:13,21.65,snoring
144,11-10-2020, 16:59:14,21.65,snoring
145,11-10-2020, 16:59:14,23.05,snoring
146,11-10-2020, 16:59:20,20.56,snoring
147,11-10-2020, 16:59:21,20.56,snoring
148,11-10-2020, 16:59:21,20.94,snoring
149,11-10-2020, 16:59:22,19.25,snoring
150,11-10-2020, 16:59:22,20.26,snoring
151,11-10-2020, 16:59:23,20.26,snoring
152,11-10-2020, 16:59:24,20.56,snoring
153,11-10-2020, 16:59:24,20.56,snoring
154,11-10-2020, 16:59:25,20.43,snoring
155,11-10-2020, 16:59:25,21.38,snoring
156,11-10-2020, 16:59:26,20.14,snoring
157,11-10-2020, 16:59:26,20.14,snoring
158,11-10-2020, 16:59:27,20.38,snoring
159,11-10-2020, 16:59:28,19.1,snoring
160,11-10-2020, 16:59:28,19.1,snoring
161,11-10-2020, 16:59:29,17.86,snoring
162,11-10-2020, 16:59:29,18.8,snoring
163,11-10-2020, 16:59:30,18.8,snoring
164,11-10-2020, 16:59:31,22.81,snoring
165,11-10-2020, 16:59:31,21.42,snoring
166,11-10-2020, 16:59:32,21.42,snoring
167,11-10-2020, 16:59:32,21.41,snoring
168,11-10-2020, 16:59:33,16.11,snoring
169,11-10-2020, 16:59:33,16.11,snoring
170,11-10-2020, 16:59:34,17.14,snoring
171,11-10-2020, 16:59:35,15.37,snoring
172,11-10-2020, 16:59:35,15.37,snoring
173,11-10-2020, 16:59:38,15.48,snoring
174,11-10-2020, 16:59:39,15.48,snoring
175,11-10-2020, 16:59:39,16.46,snoring
176,11-10-2020, 16:59:40,15.71,snoring
177,11-10-2020, 16:59:40,16.25,snoring
178,11-10-2020, 16:59:41,16.25,snoring
179,11-10-2020, 16:59:42,15.51,snoring
180,11-10-2020, 16:59:42,15.51,snoring
181,11-10-2020, 16:59:43,19.67,snoring
182,11-10-2020, 16:59:44,19.54,snoring
183,11-10-2020, 16:59:44,19.54,snoring
184,11-10-2020, 16:59:54,25.03,snoring
185,11-10-2020, 16:59:54,25.22,snoring
186,11-10-2020, 16:59:56,22.53,snoring
187,11-10-2020, 16:59:57,22.53,snoring
188,11-10-2020, 16:59:57,21.78,snoring
189,11-10-2020, 16:59:58,21.35,snoring
190,11-10-2020, 16:59:59,25,snoring
